Step,Value
0,1384.61962890625
500,1373.3982543945312
1000,1444.6549682617188
1500,1411.3050537109375
2000,1411.74755859375
2500,1379.1608479817708
3000,1334.7855224609375
3500,1343.6607666015625
4000,1333.5299072265625
4500,1293.9912923177083
5000,1277.7693481445312
5500,1264.162841796875
6000,1262.0260009765625
6500,1243.4050903320312
7000,1220.4518432617188
7500,1229.4015502929688
8000,1233.0643310546875
8500,1250.337158203125
9000,1285.7630004882812
9500,1306.2012939453125
10000,1312.7251586914062
10500,1347.9913330078125
11000,1383.41796875
11500,1437.0218505859375
12000,1456.343994140625
12500,1490.1810913085938
13000,1515.14306640625
13500,1548.56884765625
14000,1574.9384765625
14500,1596.59130859375
15000,1602.6981201171875
15500,1597.4118041992188
16000,1599.8162841796875
16500,1604.7376098632812
17000,1610.5677490234375
17500,1612.6929321289062
18000,1618.78759765625
18500,1615.7078857421875
19000,1608.1730346679688
19500,1603.226806640625
20000,1606.68701171875
20500,1614.154296875
21000,1607.2454223632812
21500,1590.2166137695312
22000,1584.9186401367188
22500,1595.938720703125
23000,1614.4100341796875
23500,1632.5029296875
24000,1637.7882080078125
24500,1624.2704467773438
25000,1617.3048095703125
25500,1624.034912109375
26000,1619.2429809570312
26500,1624.4000244140625
27000,1630.0386352539062
27500,1611.3783569335938
28000,1613.385986328125
28500,1621.3232421875
29000,1637.2049560546875
29500,1653.5311279296875
30000,1653.9622192382812
30500,1652.7145385742188
31000,1653.7989501953125
31500,1620.990966796875
32000,1623.883544921875
32500,1638.0191650390625
33000,1643.3328857421875
33500,1631.9807739257812
34000,1626.5429077148438
34500,1615.5810546875
35000,1632.900146484375
35500,1625.3402709960938
36000,1619.0826416015625
36500,1618.817138671875
37000,1605.9528198242188
37500,1605.4490966796875
38000,1594.405517578125
38500,1600.327392578125
39000,1604.9901123046875
39500,1575.0493774414062
40000,1565.72705078125
40500,1571.9190063476562
41000,1591.3656005859375
41500,1585.6303100585938
42000,1579.410400390625
42500,1580.1653442382812
43000,1563.9735107421875
43500,1574.2799682617188
44000,1562.9700927734375
44500,1562.6970825195312
45000,1567.0946044921875
45500,1567.4544677734375
46000,1578.2750244140625
46500,1601.537109375
47000,1629.3133544921875
47500,1609.3211059570312
48000,1592.5321044921875
48500,1588.080078125
49000,1589.5725708007812
49500,1590.3609619140625
50000,1596.7869873046875
50500,1570.6436157226562
51000,1568.1409912109375
51500,1579.631591796875
52000,1574.5585327148438
52500,1559.0059204101562
53000,1557.288818359375
53500,1530.1649169921875
54000,1503.2150065104167
54500,1492.1270751953125
55000,1490.8845825195312
55500,1432.1766052246094
56000,1353.6016845703125
56500,1357.21630859375
57000,1337.771484375
57500,1323.0621948242188
58000,1322.365966796875
58500,1300.4975992838542
59000,1281.6777954101562
59500,1280.1681518554688
60000,1296.791748046875
60500,1309.2159423828125
61000,1324.3054809570312
61500,1322.468017578125
62000,1379.0696411132812
62500,1442.332763671875
63000,1452.6060791015625
63500,1465.99072265625
64000,1474.4280395507812
64500,1487.00244140625
65000,1491.5192260742188
65500,1508.46044921875
66000,1531.6699829101562
66500,1549.5792236328125
67000,1547.686767578125
67500,1536.17626953125
68000,1476.453857421875
68500,1458.7677001953125
69000,1444.3643798828125
69500,1435.23974609375
70000,1437.6987915039062
70500,1447.538818359375
71000,1466.0323486328125
71500,1460.4609985351562
72000,1450.6812744140625
72500,1450.0478515625
73000,1460.0777587890625
73500,1449.3921508789062
74000,1477.939697265625
74500,1495.45458984375
75000,1542.6160278320312
75500,1580.4560546875
76000,1588.080810546875
76500,1601.4183349609375
77000,1606.342041015625
77500,1618.69873046875
78000,1621.1502075195312
78500,1613.525390625
79000,1632.765869140625
79500,1625.7896728515625
80000,1606.006591796875
80500,1609.0155029296875
81000,1625.715576171875
81500,1616.9273681640625
82000,1601.2958984375
82500,1609.427734375
83000,1600.1460571289062
83500,1595.0202026367188
84000,1612.2686157226562
84500,1608.0255126953125
85000,1583.343994140625
85500,1567.8638305664062
86000,1554.0205078125
86500,1550.255126953125
87000,1553.8067626953125
87500,1564.4567260742188
88000,1572.5614013671875
88500,1574.0308227539062
89000,1591.6756591796875
89500,1600.40966796875
90000,1598.8125610351562
90500,1585.4757690429688
91000,1573.9605712890625
91500,1573.629638671875
92000,1590.3228759765625
92500,1619.5137939453125
93000,1627.2457885742188
93500,1645.259521484375
94000,1644.6559448242188
94500,1649.9578247070312
95000,1652.9669189453125
95500,1644.2556762695312
96000,1629.0316162109375
96500,1624.8126220703125
97000,1624.013671875
97500,1628.067138671875
98000,1651.977783203125
98500,1667.798095703125
99000,1674.8524169921875
99500,1672.816162109375
