Value,Step
399,3000
400.05,6000
342.5652533,9000
474.4551155,12000
694.1524752,15000
298.7554455,18000
978.7652646,21000
678.892053,24000
673.2953329,27000
607.8190594,30000
1093.379319,33000
928.5580738,36000
595.0203293,39000
261.8447842,42000
399.3,45000
991.8666377,48000
1055.563526,51000
382.4520637,54000
1512.152606,57000
314.3042079,60000
154.7006462,63000
1278.862272,66000
142.2479733,69000
1168.506374,72000
1520.604932,75000
650.09366,78000
1442.285055,81000
180.4830978,84000
1386.77787,87000
1438.84409,90000
123.8690144,93000
1482.571806,96000
164.4811196,99000
