mean_reward,std_reward,crash_count,mean_sim_time,Model_types,Hdv_intervals,Lane_counts
1656.170448,0.05,0.0,190.0,SmartPL,2,2
1672.588579,1.164805634,0.0,189.5,CoOP,2,2
1569.121268,0.299179741,0.0,190.0,Plexe,2,2
1762.251832,0.05,0.0,179.0,SmartPL,2,3
1761.349267,0.0,0.0,178.0,CoOP,2,3
1563.158766,0.0,0.0,191.0,Plexe,2,3
1708.405286,11.77265867,0.0,184.0,SmartPL,2,4
1702.602942,25.65168542,0.0,185.0,CoOP,2,4
1581.405956,0.0,0.0,189.0,Plexe,2,4
1668.177543,0.0,0.0,190.0,SmartPL,3,2
1672.588579,1.164805634,0.0,189.5,CoOP,3,2
1569.420448,0.0,0.0,190.0,Plexe,3,2
1806.806399,0.001606967,0.0,174.0,SmartPL,3,3
-23.15941489,0.0,1.0,,CoOP,3,3
1429.160537,257.3412947,0.5,179.0,Plexe,3,3
1762.772638,0.0,0.0,178.0,SmartPL,3,4
1689.899739,12.94848316,0.0,187.0,CoOP,3,4
1578.432425,2.950793105,0.0,189.0,Plexe,3,4
1591.841534,0.0,0.0,198.0,SmartPL,4,2
1672.588579,1.164805634,0.0,189.5,CoOP,4,2
1568.822088,0.0,0.0,190.0,Plexe,4,2
1811.998642,0.0,0.0,170.0,SmartPL,4,3
-23.15941489,0.0,1.0,,CoOP,4,3
1624.830299,61.67153306,0.0,185.0,Plexe,4,3
1729.404382,138.0432913,0.0,180.5,SmartPL,4,4
1710.012056,7.163833293,0.0,184.5,CoOP,4,4
1581.383218,0.0,0.0,189.0,Plexe,4,4
1301.250890059159,0.0,0.0,0.0,NoisyNet-MADQN,2,2
1360.8760630878055,0.0,0.0,0.0,NoisyNet-MADQN,3,2
1431.78074174255,0.0,0.0,0.0,NoisyNet-MADQN,4,2
1203.3746322343743,0.0,0.0,0.0,NoisyNet-MADQN,2,3
1298.5864870091082,0.0,0.0,0.0,NoisyNet-MADQN,3,3
1454.55371032751,0.0,0.0,0.0,NoisyNet-MADQN,4,3
1482.2444280608854,0.0,0.0,0.0,NoisyNet-MADQN,2,4
1420.192134834662,0.0,0.0,0.0,NoisyNet-MADQN,3,4
1488.6937396875508,0.0,0.0,0.0,NoisyNet-MADQN,4,4
