Reward,Step
399.0850000000001,3000
470.4416666666666,6000
490.2131435643565,9000
364.1844485576109,12000
928.6881651820777,15000
779.953003272984,18000
1417.5552118396768,21000
876.541288684192,24000
754.9951284242801,27000
894.7837754692853,30000
633.4926235599135,33000
438.54903462315195,36000
493.3823323845296,39000
677.0337442542102,42000
538.0867624165664,45000
923.212993176262,48000
355.16119904243754,51000
399.2500000000001,54000
581.3365865243147,57000
1189.9527914651542,60000
599.3180064189289,63000
1333.1695261849982,66000
531.4867697847326,69000
809.9753245644797,72000
626.9395746564945,75000
827.3266336066481,78000
762.1242463960555,81000
465.83431853634556,84000
1013.7068387407692,87000
428.2607560866203,90000
925.2470899464155,93000
577.8049103153456,96000
600.5045613110688,99000
